number	source	itemNum	status	優先順位	day	Part	word	tittle	audioFile	pronunciation	meaning	audioPath	exampleFile	example
11	キクタンTOEIC TEST SCORE 990	0011	覚えていない	名詞：超必修240	1	4	transit	輸送、通過	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\transit.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\transit.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\transit.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\transit.mp3	"transit passengers 乗り継ぎ客
public transit（公共輸送機関）
The goods were damaged in transit due to carrier negligence.
（商品は運送会社の過失で輸送中に損傷を受けた）"
12	キクタンTOEIC TEST SCORE 990	0012	覚えた	名詞：超必修240	1	"2,3"	invoice	請求書、送り状	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\invoice.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\invoice.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\invoice.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\invoice.mp3	"enclose an invoice（請求書を同封する）
 Invoices must be paid by the last day of each month.（請求書は各月の最終日までに支払われなければならない）"
13	キクタンTOEIC TEST SCORE 990	0013	覚えた	名詞：超必修240	1	1	plumber	配管工	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\plumber.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\plumber.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\plumber.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\plumber.mp3	"call a plumber（配管工を呼ぶ）
The plumber is fixing a sink.（配管工は流しを修理している）"
14	キクタンTOEIC TEST SCORE 990	0014	微妙	名詞：超必修240	1	"2,3"	appliance	(電気の)器具	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\appliance.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\appliance.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\appliance.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\appliance.mp3	"electrical [domestic, household] appliances　電気［家庭用（電気）］製品
medical appliances 医療器械.
The store carries a wide variety of household appliances.（その店はさまざまな家庭用器具を扱っている）"
15	キクタンTOEIC TEST SCORE 990	0015	覚えた	名詞：超必修240	1	4	supervisor	監督者、上司、監督者	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\supervisor.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\supervisor.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\supervisor.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\supervisor.mp3	"a production supervisor（製造監督者）
 He was promoted to accounting supervisor last year.（彼は昨年、会計監督者に昇進した）"
16	キクタンTOEIC TEST SCORE 990	0016	覚えた	名詞：超必修240	1	"2,3"	agenda	議題、協議事項	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\agenda.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\agenda.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\agenda.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\agenda.mp3	"the first item on the agenda（議題の最初の項目）
high on [at the top of] the agenda（最も重要な議題である）
Let's move on to the next item on the agenda.（議題の次の項目に進みましょう）"
17	キクタンTOEIC TEST SCORE 990	0017	覚えた	名詞：超必修240	2	7	expertise	（～に関する）専門的知識［技術］（in ～）	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\expertise.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\expertise.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\expertise.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\expertise_sent.mp3	"expertise in psychology [sewing]（心理学の専門的知識［裁縫の専門的技術］）
She has experience and expertise in accounting.（彼女は会計の経験と専門的知識を持っている）"
18	キクタンTOEIC TEST SCORE 990	0018	微妙	名詞：超必修240	2	1	beverage	水以外の飲み物	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\beverage.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\beverage.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\beverage.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\beverage_sent.mp3	"cooling beverages 清涼飲料.
an alcoholic beverage アルコール飲料, 酒
The waiter is serving beverages.（ウエーターは飲み物を出している）"
19	キクタンTOEIC TEST SCORE 990	0019	覚えていない	名詞：超必修240	2	4	detour	迂回路	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\detour.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\detour.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\detour.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\detour_sent.mp3	"make [take] a detour ((英))回り道をする
He took a detour to avoid the heavy traffic.（彼は交通渋滞を避けるために迂回した）"
20	キクタンTOEIC TEST SCORE 990	0020	微妙	名詞：超必修240	2	"2,3"	pharmacy	薬局	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pharmacy.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\pharmacy.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\pharmacy.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\pharmacy.mp3	"an owner of a pharmacy（薬局の経営者）
I went to the pharmacy to have a prescription filled.（私は処方薬を調合してもらうために薬局へ行った）"
21	キクタンTOEIC TEST SCORE 990	0021	覚えた	名詞：超必修240	2	4	shipment	（商品の）発送、船積み	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\shipment.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\shipment.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\shipment.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\shipment_sent.mp3	"a large shipment of wheat（大量の小麦の積み荷）
be ready for shipment（出荷の準備ができている）
A shipment of urgent water and food supplies is expected to arrive tomorrow.（水と食料の緊急供給の積み荷は明日届く予定だ）"
22	キクタンTOEIC TEST SCORE 990	0022	微妙	名詞：超必修240	2	7	audit	監査、会計検査/検査［監査］する	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\audit.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\audit.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\audit.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\audit_sent.mp3	"an audit report（会計検査報告書）
external [internal] audit（外部［内部］監査）
Companies are required to establish an audit committee.（企業は監査委員会を設置する必要がある）"
23	キクタンTOEIC TEST SCORE 990	0023	微妙	名詞：超必修240	2	"5,6"	auditor	会計検査官、監査人。(大学の)聴講生	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\auditor.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\auditor.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\auditor.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\auditor_sent.mp3	"The auditors found several discrepancies in the company’s accounts.会計検査官はその会社の会計簿にいくつかの間違いを見つけた。
an external [internal] auditor（外部［内部］監査役）
The previous auditor was dismissed because of a disagreement with the company.（前任の監査役はその会社との意見の不一
致のため解任された）"
24	キクタンTOEIC TEST SCORE 990	0024	微妙	名詞：超必修240	2	4	bid	入札／入札する	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\bid.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\bid.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\bid.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\bid_sent.mp3	"make a bid of $10,000 for ～（～の入札に1万ドルの値をつける）
in a bid to do ～（～しようとして）
The builder won the bid for the construction of the new city hall.（その建設会社は新市庁舎の建設を落札した）"
25	キクタンTOEIC TEST SCORE 990	0025	微妙	名詞：超必修240	2	5	recipient	受領者、受取人	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\recipient.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\recipient.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\recipient.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\recipient_sent.mp3	"pension recipients（年金受給者）
the recipient of the Nobel Prize（ノーベル賞の受賞者）
The number of welfare recipients is on the rise.（生活保護を受けて
いる人の数は上昇傾向にある）"
26	キクタンTOEIC TEST SCORE 990	0026	覚えた	名詞：超必修240	2	"5,6"	amendment	（～の）修正［改正］（案）（to ～）	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\amendment.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\amendment.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\amendment.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\amendment_sent.mp3	"make amendments to ～（～に修正を加える）
a constitutional amendment（憲法改正）
The government has made some amendments to its antiterrorism bill.（政府は反テロ法案にいくつか修正を加えた）"
27	キクタンTOEIC TEST SCORE 990	0027	微妙	名詞：超必修240	2	4	token	しるし、代用硬貨	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\token.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\token.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\token.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\token_sent.mp3	"as a token of ～（～の印として）
a subway token（地下鉄の代用硬貨）
Please accept this gift as a token of my appreciation for your support.（あなたのご支援への感謝の印として、この贈り物をお受け取りください）"
28	キクタンTOEIC TEST SCORE 990	0028	覚えた	名詞：超必修240	2	"2,3"	workplace	職場	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\workplace.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\workplace.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\workplace.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\workplace_sent.mp3	"stress in the workplace（職場でのストレス）
Gender discrimination in the workplace is prohibited.（職場での性差別は禁止されている）"
29	キクタンTOEIC TEST SCORE 990	0029	覚えた	名詞：超必修240	2	"2,3"	coworker	仕事仲間	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\coworker.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\coworker.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\coworker.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\coworker_sent.mp3	"one's coworkers in the office（職場の同僚）
 I went to the wedding of one of my coworkers yesterday.（私は昨日、同僚の1人の結婚式に行った）"
30	キクタンTOEIC TEST SCORE 990	0030	微妙	名詞：超必修240	2	1	pedestrian	歩行者／（道路などが）歩行用の	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pedestrian.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\pedestrian.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\pedestrian.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\pedestrian_sent.mp3	"a pedestrian crossing ((英))横断歩道（((米))crosswalk）
pedestrians crossing the road（道路を横断している歩行者たち）
There are a lot of pedestrians on the sidewalk.（歩道には多くの歩行者がいる）"
31	キクタンTOEIC TEST SCORE 990	0031		名詞：超必修240	2	7	specification	（通例～s）仕様書、設計明細書（≒spec）	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\specification.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\specification.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\specification.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\specification_sent.mp3	
32	キクタンTOEIC TEST SCORE 990	0032	微妙	名詞：超必修240	2	7	subsidiary	子会社、補助（物），付属者［もの	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\subsidiary.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\pronunciation\subsidiary.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\meaning\subsidiary.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day2\sentence\subsidiary_sent.mp3	"a fully-owned subsidiary（全額出資の子会社）
The company is a subsidiary of a London-based oil company.　（その会社はロンドンに本社がある石油会社の子会社だ）"
33	キクタンTOEIC TEST SCORE 990	0033	微妙	名詞：超必修240	3	7	landmark	"（陸上の）目印（となるもの）、目標物　画期的な出来事、（形容詞的
に）画期的な"	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\landmark.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\pronunciation\landmark.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\meaning\landmark.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\sentence\landmark.mp3	
34	キクタンTOEIC TEST SCORE 990	0034	覚えていない	名詞：超必修240	3	7	attire	衣装、服装	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\attire.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\pronunciation\attire.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\meaning\attire.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\sentence\attire.mp3	"Please note that formal attire is required for this event. このイベントには正装が必要ですのでご留意ください。
business attire（ビジネススーツ）
Guests attending the party are required to wear formal attire. （そのパーティーに出席する客は正装を求められている）"
35	キクタンTOEIC TEST SCORE 990	0035	微妙	名詞：超必修240	3	4	outlet	店舗、コンセント	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\outlet.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\pronunciation\outlet.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\meaning\outlet.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\sentence\outlet.mp3	"a retail outlet（小売り販売店）
insert a plug into an outlet（プラグをコンセントに差し込む）
The pizza chain has about 500 outlets in the US.（そのピザチェーンはアメリカに約500の直販店を持っている）
an outlet for one's frustrations　欲求不満のはけ口"
36	キクタンTOEIC TEST SCORE 990	0036	微妙	名詞：超必修240	3	7	payroll	従業員名簿／賃金台帳	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\payroll.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\pronunciation\payroll.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\meaning\payroll.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day3\sentence\payroll.mp3	"be on the payroll（就業している）
The company will add 100 employees to its payroll next year. （その会社は来年、従業員を100人追加する予定だ）"
